what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416229819981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1416229828865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416229837174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416229879290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416229885334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230171006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230179517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230202718
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416230207565
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416230209188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416230209308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1416230210854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1416230219150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1416230222546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230228333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230232255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416230234333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416232190467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416232191775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234299000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234329847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234330669
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1416234332472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416234342275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234354799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234357159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234363535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234427218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234431103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234481909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234485792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1416234487819
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1416234489431
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1416234489480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416234489665
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1416234489728
